scenarioid,time,tn,eventtype,suspicion,xpos,ypos,xvel,yvel
3,1,0,CREATE,0,-20,10,0,0
3,5,11,CREATE,40,-60,175,10,5
3,8,18,CREATE,60,-40,80,-10,-5
3,10,33,CREATE,20,-200,20,20,-5
3,15,44,CREATE,50,50,100,-5,-15
3,18,83,CREATE,30,125,175,-5,10
3,20,46,CREATE,45,60,90,-5,-15
3,24,22,CREATE,30,-75,120,5,10
3,25,73,CREATE,30,100,-75,-5,15
3,26,77,CREATE,60,-10,150,5,-10
3,30,88,CREATE,40,0,125,-5,-10
3,35,93,CREATE,55,250,125,-15,5
3,40,44,UPDATE,80,0,0,5,-20
3,44,78,CREATE,70,-50,-40,10,-5
3,46,46,UPDATE,80,0,0,5,-15
3,50,18,DELETE,0,0,0,0,0
3,60,111,CREATE,90,50,40,-10,-10
